c02nums,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,ARM,AUS,AUT,AZE,BEL,BGR,BLR,CAN,CHE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GEO,GRC,HRV,HUN,IRL,ISL,ISR,ITA,JPN,KAZ,LTU,LVA,MDA,NLD,NOR,NZL,POL,PRT,ROU,SVN,SWE,USA,(blank),Grand Total,,,
1960,,88202.351,30821.135,,91000.272,,,192895.201,19523.108,,29779.707,48928.781,,15104.373,271218.654,584299.78,,,,45371.791,11180.683,1213.777,,109357.274,232781.16,,,,,73505.015,13102.191,11543.716,199767.159,8225.081,53450.192,,49222.141,2890696.1,,5071189.642,,,
1961,,90589.568,31862.563,,92793.435,,,194182.318,20388.52,,31734.218,53677.546,,14939.358,281211.229,588938.535,,9823.893,,48976.452,12365.124,1092.766,,124549.655,283118.069,,,,,75888.565,13351.547,11767.403,207434.856,9090.493,55775.07,,48851.774,2880505.507,,5182908.464,,,
1962,,94912.961,33905.082,,98117.919,,,207185.5,24154.529,,36926.69,60054.459,,16809.528,298706.486,593360.937,,10164.924,,50560.596,13120.526,1199.109,,146456.313,293220.654,,,,,83358.244,14077.613,11210.019,216815.042,9303.179,63879.14,,51326.999,2987207.873,,5416034.322,,,
1963,,101029.517,36992.696,,105781.949,,,211109.19,29104.979,,40707.367,58822.347,,19358.093,334019.696,603822.888,,12258.781,,56281.116,13461.557,1305.452,,164780.312,325222.563,,,,,91227.626,14983.362,12229.445,231219.018,10025.578,69529.987,,55371.7,3119230.874,,5717876.093,,,
1964,,108979.573,38943.54,,103662.423,42863.563,,237801.283,28166.227,,43189.926,64410.855,,22852.744,345303.055,608355.3,,13223.202,,62401.339,14231.627,1309.119,,175957.328,359318.329,,,,,96867.472,16189.805,13105.858,243114.766,11023.002,72115.222,,60432.16,3255995.306,,6039813.024,,,
1965,,120966.996,38188.138,,105440.918,46317.877,,252153.921,30370.094,,44337.697,71117.798,,25327.969,351852.317,622619.93,,17025.881,,61293.905,13732.915,1397.127,,189767.25,386919.838,,,,,100497.802,16409.825,13699.912,247221.806,11598.721,78723.156,,62628.693,3390922.571,,6300533.057,,,
1966,,120332.605,39258.902,,105206.23,48767.433,,259319.239,31528.866,,50127.89,77729.399,,29519.35,347235.564,618564.228,,18650.362,,61733.945,15111.707,1496.136,,214248.142,419743.155,,,,,103655.089,19563.445,14015.274,252678.302,11851.744,84183.319,,72591.932,3561878.111,,6578990.369,,,
1967,,129265.417,39966.633,,107472.436,55166.348,,281896.958,32562.96,,49075.461,86519.198,,28617.268,372009.816,592517.527,,19534.109,,58829.681,16413.492,1444.798,,234427.643,489881.864,,,,,106783.04,19328.757,13641.24,259282.569,12409.128,92129.708,,69001.939,3695708.943,,6863886.933,,,
1968,,134622.904,42350.183,,118557.777,59526.411,,303539.592,36028.275,,53325.514,97157.165,,33314.695,384631.63,606969.174,,22321.029,,61154.559,17821.62,1595.145,,249495.346,562565.471,,,,,113552.322,21140.255,13487.226,276073.762,13010.516,100189.774,,77685.395,3831354.94,,7231470.68,,,
1969,,142257.598,44693.396,,123618.237,66376.367,,307400.943,38096.463,,59401.733,96882.14,,37935.115,413259.899,628857.497,,25474.649,,62419.674,18514.683,1265.115,,270008.544,653958.112,,,,,115910.203,22222.02,14271.964,293653.36,14612.995,111649.149,,86467.86,4024748.853,,7673956.569,,,
1970,,147618.752,50692.608,,125620.419,61238.9,,341485.708,40296.663,,62100.645,116929.629,,40395.672,439013.24,653063.364,,24165.53,,70003.03,19413.098,1389.793,,296740.974,768823.22,,,,,141934.902,28012.213,14194.957,304441.674,15258.387,120112.585,,92379.064,4328904.501,,8304229.528,,,
1971,,152774.554,52155.741,,121528.047,64300.845,,352607.719,41943.146,,57062.187,128682.364,,40582.689,462434.369,660863.073,,27814.195,,69280.631,22497.045,1474.134,,311588.657,797543.164,,,,,140875.139,27198.139,15060.369,313246.141,16406.158,125829.438,,84590.356,4356770.034,,8445108.334,,,
1972,,157486.649,56193.108,,130834.893,66171.015,,381136.979,42973.573,,59643.755,145026.183,,44161.681,480729.032,648486.948,,31572.87,,69430.978,22053.338,1485.135,,328970.237,853373.239,,,,,157794.677,29427.675,16197.139,329952.993,18349.668,132422.704,,84781.04,4564952.958,,8853608.467,,,
1973,,170992.21,60164.469,,138872.957,68825.923,,381621.023,46262.872,,59266.054,155367.123,,49387.156,516599.626,660034.331,,37256.72,,73068.642,22860.078,1752.826,,354320.208,915748.909,,,,,165645.724,30524.108,18202.988,336128.221,20003.485,144960.177,,87366.275,4770194.948,,9285427.053,,,
1974,,172356.334,57469.224,,135220.625,71260.811,,389970.782,41481.104,,55078.34,173152.073,,46680.91,499071.366,617607.141,,36218.959,,74102.736,23303.785,1741.825,,359406.337,915873.587,,,,,160445.918,27696.851,18756.705,346876.198,20714.883,150944.721,,79889.262,4598487.673,,9073808.15,,,
1975,,175883.988,54392.611,,122100.099,73061.308,,397143.434,39097.554,,55778.737,181644.845,,46101.524,446919.292,603643.205,,38873.867,,75389.853,22053.338,1617.147,19647.786,342310.783,870072.757,,,,,153020.243,29673.364,18261.66,375559.472,21356.608,162257.416,,80824.347,4406329.539,,8813014.777,,,
1976,,174244.839,58415.31,,130009.818,73116.313,,399317.965,40483.68,,60135.133,198443.372,,51279.328,505602.293,598912.775,,42911.234,,80013.94,22295.36,1705.155,19611.116,367312.389,908902.62,,,,,169683.091,29317.665,19237.082,399035.606,22423.705,174765.553,,88308.694,4613100.668,,9248584.704,,,
1977,,187787.07,56218.777,,126570.172,75969.239,,408151.768,41085.068,,61847.622,195663.786,,50219.565,480857.377,604746.972,,46999.939,,83204.23,23567.809,1906.84,19893.475,356175.71,935213.345,,,,,164277.933,31070.491,20300.512,419024.423,22728.066,178399.55,,85804.133,4742292.745,,9419976.617,,,
1978,,202015.03,57483.892,,135855.016,81411.067,,415896.472,42218.171,,61117.889,200493.225,,51913.719,505858.983,605084.336,,48081.704,,88187.683,23571.476,1925.175,21176.925,373234.594,903886.164,,,,,170548.503,34792.496,18008.637,432056.941,22742.734,193903.626,,79533.563,4890861.25,,9661859.271,,,
1979,,205069.641,61594.599,,140233.414,79152.195,,442067.851,39911.628,,62999.06,203745.854,,54333.939,529155.434,644893.288,,51293.996,,86229.505,27388.823,1987.514,21019.244,387466.221,955620.2,,,,,187812.739,34242.446,16475.831,442489.556,25030.942,,,84927.72,4901796.244,,9686937.884,,,
